1	71682	Currency Token Test Token 4	Text that describes this item can be found here.	X 
2	12297	Currency Token Test Token 2		X 
4	1	Currency Token Test Token 5		X 
22	0	Birmingham Test Item 3		X 
42	0	Badge of Justice		X 
61	0	Dalaran Jewelcrafter's Token	Tiffany Cartier's shop in Dalaran will gladly accept these tokens for unique jewelcrafting recipes.	X 
81	0	Epicurean's Award	Visit special cooking vendors in Dalaran and the capital cities to to purchase unusual cooking recipes, spices, and even a fine hat!	X 
101	0	Emblem of Heroism		X 
102	0	Emblem of Valor		X 
103	0	Arena Points		X 
104	0	Honor Points DEPRECATED	If you can read this, you've found a bug. REPORT IT!	X 
121	0	Alterac Valley Mark of Honor		X 
122	0	Arathi Basin Mark of Honor		X 
123	0	Eye of the Storm Mark of Honor		X 
124	0	Strand of the Ancients Mark of Honor		X 
125	0	Warsong Gulch Mark of Honor		X 
126	0	Wintergrasp Mark of Honor		X 
161	0	Stone Keeper's Shard		X 
181	0	Honor Points DEPRECATED2	If you can read this, you've found a bug. REPORT IT!	X 
201	0	Venture Coin		X 
221	0	Emblem of Conquest		X 
241	0	Champion's Seal	Awarded for valiant acts in the Crusader's Coliseum.	X 
301	0	Emblem of Triumph		X 
321	0	Isle of Conquest Mark of Honor		X 
341	0	Emblem of Frost		X 
361	0	Illustrious Jewelcrafter's Token	Awarded for demonstrating great skill in jewelcrafting, these tokens can be used to purchase unique jewelcrafting plans and the fabulous Chimera's Eye.	X 
384	34	Dwarf Archaeology Fragment		X 
385	34	Troll Archaeology Fragment		X 
391	2	Tol Barad Commendation	Awarded for brave deeds performed on Tol Barad.	X 
393	34	Fossil Archaeology Fragment		X 
394	34	Night Elf Archaeology Fragment		X 
395	8280	Justice Points	Used to purchase less-powerful armor and weapons.	X 
396	8264	Valor Points	Used to purchase powerful PvE armor and weapons.	X 
397	34	Orc Archaeology Fragment		X 
398	34	Draenei Archaeology Fragment		X 
399	34	Vrykul Archaeology Fragment		X 
400	34	Nerubian Archaeology Fragment		X 
401	34	Tol'vir Archaeology Fragment		X 
402	0	Ironpaw Token	Represents your credit with the Ironpaw family of cooks. Can be redeemed for Cooking ingredients and other things at the Stockmaster in Halfhill Market.	X 
416	1024	Mark of the World Tree	Granted by the Guardians of Hyjal. Can be used to purchase reinforcements for the Invasion of the Firelands.	X 
483	1484	Conquest Arena Meta		X 
484	1484	Conquest Rated BG Meta		X 
515	2	Darkmoon Prize Ticket	Awarded for winning games or doing favors at the Darkmoon Faire.	X 
614	1024	Mote of Darkness	Extracted from the forces of Deathwing, this dark energy can be used to power amazing magics.	X 
615	1024	Essence of Corrupted Deathwing	Extracted from Deathwing himself, this dark energy powers the most fearsome of incantations.	X 
676	34	Pandaren Archaeology Fragment		X 
677	34	Mogu Archaeology Fragment		X 
692	1484	Conquest Random BG Meta		X 
